so,source_file,customer,customer_street_address,customer_city,customer_state,customer_zip,order_date,ship_to_name,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,fuel_brand,store_brand,store_id,site_id,site_address,site_city,site_state,state,site_zip,service_requested,service_date,technician,new_install/90_days,system,equipment_replacement,reason_for_order,equipment_category,impact_to_site,interface,firmware,last_service_date,min_temp_F,max_temp_F,avg_temp_F,precipitation_inches,humidity_precentag,snowfall_inches,windspeed_mph,sunshine_hours
41005,"SO#41005 Chevron #TBD - Blackfoot, ID - FMD12CSS3-GSW-C1_FMD8CTS3-GSW-C2_PVSPS82X62-UD-CRCH-1.xlsx",SignResource,5930 Shull St.,Bell Gardens,CA,90201,11/15/2024,SignResource,5930 Shull St.,Bell Gardens,CA,90201,Chevron,Fast Stop,1146,,1245 Parkway Dr.,Blackfoot,ID,Idaho,,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,2.4,66.4,0,6.3,11.7
70631,"SO#70631 Citgo #15640105 - Woodbridge Township, NJ - FMD14SEP3-R-G_PVSPS63-UDW-2.xlsx",SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,11/4/2024,SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,Citgo,,,15640105,1021 US - 9,Woodbridge Township,NJ,New Jersey,7095,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,2.1,76.1,0,14.2,9
70632,"SO#70632 Citgo #15640106 - Woodbridge, NJ - FMD18SEP3-GSR_FMD16SEP3-GSG_PVSPS63-UDW-1.xlsx",SignResource,242 Industriral Pkwy,Jacksboro,TN,37757,11/7/2024,SignResource,242 Industriral Pkwy,Jacksboro,TN,37757,Citgo,,,15640106,1020 US Hwy 9 North,Woodbridge,NJ,New Jersey,7095,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,2.1,76.1,0,14.2,9
80951,"SO#80951 7-11 #37129 - Portsmouth, VA - FMD12SEP3-GSG_PVSPS42-UD-1-CAPS.xlsx",,2655 International Parkway,Virginia Beach,VA,23452,11/4/2024,,2655 International Parkway,Virginia Beach,VA,23452,7Eleven,,,37129,1811 Effingham Street,Portsmouth,VA,Virginia,,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,4.1,72.9,0,8.6,8.7
80952,"SO#80952 7-11 #36964 - Ovideo, FL - FMD12SEP3-GSR_GSG_PVSPS42-UD-1.xlsx",,645 Voltgae Way,"Sanford, FL 3.2773",,,11/18/2024,,645 Voltgae Way,"Sanford, FL 3.2773",,,7Eleven,,,36964,2960 W. SR 426,Oviedo,FL,Florida,31768,FALSE,,,,,,,,,PCU,1.91,7/5/2025,80,100,90,5,60.7,0,11.9,10.2
80953,"SO#80953 7-11 #33096 - Gainesville, VA - FMD12SEP3-GSR_GSG_PVSP42-UD-1.xlsx","Sign Enterprise, Inc",1317 Alum Spring Rd.,Fredericksburg,VA,22401,11/21/2024,"Sign Enterprise, Inc",1317 Alum Spring Rd.,Fredericksburg,VA,22401,7Eleven,,,33096,Webb Dr.,Gainesville,VA,Virginia,,FALSE,,,,,,,,,PVCU-POS-PSPT,3.08,7/5/2025,70,90,80,4.1,72.9,0,8.6,8.7
32627,"SO#32627 G & M #4 - Huntington Beach, CA - FMD6SEP-GSW_PVSPS31-H3-CRCH-6.xlsx",Donco & Sons,2871 E. Blue Star Street,Anaheim,CA,92806,9/30/2024,Donco & Sons,2871 E. Blue Star Street,Anaheim,CA,92806,G & M,G & M Food Mart,4,,16990 Beach Blvd.,Huntington Beach,CA,California,,TRUE,1/29/2025,Donco & Sons,0,,,,,,PVCU-POS-VFON,3.08,1/29/2025,43.5,63.5,53.5,1.8,53.2,3,11.1,4.4
32630,"SO#32630 Citgo #11793039 - Joliet, IL - FMD18SEP3-GSR_PVSPS21-W1-2-Reface.xlsx",SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,9/27/2024,SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,Citgo,,,11793039,1160 W. Jefferson St.,Joliet,IL,Illinois,60435,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,4.2,63.4,0,8.1,12
32631,"SO#32631 Citgo #24838009 - Beacon Falls, CT - FMD12SEP-GSR-GSG-DP_PVSPS62-UDCC-1.xlsx",SignResource,242 Industrial Pkwy,Jacksboro,TX,37757,10/1/2024,SignResource,242 Industrial Pkwy,Jacksboro,TX,37757,Citgo,,,24838009,17 Old Turnpike Rd.,Beacon Falls,CT,Connecticut,6403,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,5.3,75.3,0,12.5,9.8
32632,"SO#32632 Chevron #TBD - Myrtle Creek, OR - FMD8CTS3-GSW-C1_PVSPS82X62-UMP-CH-2.xlsx",SignResource,5930 Shull St.,Bell Gardens,CA,90201,10/1/2024,SignResource,5930 Shull St.,Bell Gardens,CA,90201,Chevron,,,,311 N. Main,Myrtle Creek,OR,Oregon,97457,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,5.1,75.2,0,8.6,10.3
